X,Y
47.65181,-122.30758
47.65182,-122.30759
47.65181,-122.30758
47.65176,-122.30751
47.65176,-122.30751
47.65215,-122.30641
47.65213,-122.3064
47.65213,-122.3064
47.65215,-122.30641
47.65215,-122.30641
47.65218,-122.30642
47.65225,-122.30644
47.65228,-122.30643
47.65273,-122.3077
47.65272,-122.3076
47.65283,-122.30778
47.65256,-122.30723
47.65302,-122.30787
47.65311,-122.30791
47.65298,-122.30779
47.65289,-122.30765
47.65291,-122.30788
47.6527,-122.30747
47.65288,-122.30792
47.65258,-122.30729
47.65215,-122.30641
47.65254,-122.30711
47.65238,-122.30683
47.65282,-122.3077
47.6529,-122.3079
47.65295,-122.30801
47.65279,-122.3077
47.653,-122.30817
